patent_number,kind,type,provenance,title,assignee,matched_assignee,inventor,priority_date,filing_date,publication_date,grant_date,pdf,google_patents_url,abstract
US10135949B1,B1,grant,snap_filed, Systems and methods for story and sub-story navigation,Snap Inc.,Snap Inc,Maria Pavlovskaia,2015-05-05,2015-05-05,2018-11-20,2018-11-20,https://patentimages.storage.googleapis.com/2d/f4/8d/a70c55471d89f8/US10135949.pdf,https://patents.google.com/patent/US10135949B1/en,"&hellip;  to users that are very close to this location. Rather than making the story available to all users within a larger geographic area, the system may automatically <b>assign</b> an area to the story, and may make the story available only to users in the area that was generated and assigned for that story."
US10154810B2,B2,grant,other_assignee, Security system that detects atypical behavior,Facense Ltd.,Snap Inc,Arie Tzvieli,2015-06-14,2018-01-02,2018-12-18,2018-12-18,https://patentimages.storage.googleapis.com/78/10/b1/b977d9957a59bd/US10154810.pdf,https://patents.google.com/patent/US10154810B2/en,"the frame in Oculus Rift™ includes the foam placed on the user&#39;s face and the straps; and the frames in Google Glass™ and Spectacles by <b>Snap Inc</b>. are similar to eyeglasses frames. Additionally or alternatively, the frame may connect to, be affixed within, and/or be integrated with, a helmet (e.g. &hellip;"
US10157333B1,B1,grant,snap_filed, Systems and methods for content tagging,Snap Inc.,Snap Inc|Snapchat Inc,Xiaoyu Wang,2015-09-15,2016-08-25,2018-12-18,2018-12-18,https://patentimages.storage.googleapis.com/28/f5/5d/22acb97aafd080/US10157333.pdf,https://patents.google.com/patent/US10157333B1/en,compare each output value of the plurality of output values with a corresponding threshold; and <b>assign</b> one or more tags to the first image based on the comparison of each output value associated with the corresponding tag to the corresponding threshold; capture a plurality of metadata associated &hellip;
US10159411B2,B2,grant,other_assignee, Detecting irregular physiological responses during exposure to sensitive data,Facense Ltd.,Snap Inc,Arie Tzvieli,2015-06-14,2018-01-02,2018-12-25,2018-12-25,https://patentimages.storage.googleapis.com/65/d5/d3/1df6c47581f9a9/US10159411.pdf,https://patents.google.com/patent/US10159411B2/en,"the frame in Oculus Rift™ includes the foam placed on the user&#39;s face and the straps; and the frames in Google Glass™ and Spectacles by <b>Snap Inc</b>. are similar to eyeglasses frames. Additionally or alternatively, the frame may connect to, be affixed within, and/or be integrated with, a helmet (e.g. &hellip;"
US10200327B1,B1,grant,snap_filed, Storage management for ephemeral messages,Snap Inc.,Snap Inc|Snapchat Inc,Aaron Son,2015-06-16,2018-01-22,2019-02-05,2019-02-05,https://patentimages.storage.googleapis.com/ce/15/d9/4ddf2e34db3f29/US10200327.pdf,https://patents.google.com/patent/US10200327B1/en,"What is claimed is: 1. A system comprising: at least one hardware processor configured to: <b>assign</b> an individual time to each of a plurality of logical disks, each time indicating when the respective logical disk is available for writing; select one of the plurality of logical disks having an &hellip;"
US10204137B2,B2,grant,snap_filed, System and method for data collection to validate location data,Snap Inc.,Snap Inc,David Shim,2012-02-24,2013-05-10,2019-02-12,2019-02-12,https://patentimages.storage.googleapis.com/db/32/18/23243051852be4/US10204137.pdf,https://patents.google.com/patent/US10204137B2/en,"<b>assign</b> an indicator of data fidelity to the location of the user at the instance of time based on the place query data received from the user and the validating the location of the user based on the audio signal, wherein the indicator of data fidelity reflects a degree of accuracy of an aggregate &hellip;"
US10216981B2,B2,grant,other_assignee, Eyeglasses that measure facial skin color changes,Facense Ltd.,Snap Inc,Arie Tzvieli,2015-06-14,2017-12-06,2019-02-26,2019-02-26,https://patentimages.storage.googleapis.com/48/b3/32/55e04e5b0eaf57/US10216981.pdf,https://patents.google.com/patent/US10216981B2/en,"the frame in Oculus Rift™ includes the foam placed on the user&#39;s face and the straps; and the frames in Google Glass™ and Spectacles by <b>Snap Inc</b>. are similar to eyeglasses frames. Additionally or alternatively, the frame may connect to, be affixed within, and/or be integrated with, a helmet (e.g. &hellip;"
US10235066B1,B1,grant,other_assignee, Journal destage relay for online system checkpoint creation,EMC IP Holding Company LLC,Snap Group,Xiangping Chen,2017-04-27,2017-04-27,2019-03-19,2019-03-19,https://patentimages.storage.googleapis.com/be/3a/db/7f0c65957bff29/US10235066.pdf,https://patents.google.com/patent/US10235066B1/en,"A storage system comprising a processor in operable communication with a storage device is configured to have first, second, and third tables and first, second, and third respective metadata journals storing time-based information associated, respectively, with the first, second, and third tables."
US10270839B2,B2,grant,snap_filed, Content collection navigation and autoforwarding,Snap Inc.,Snap Inc,Jacob Andreou,2016-03-29,2016-03-29,2019-04-23,2019-04-23,https://patentimages.storage.googleapis.com/25/84/d1/ad5b62813733a2/US10270839.pdf,https://patents.google.com/patent/US10270839B2/en,"Systems and methods for communicating and displaying collections of image and video clip content are described. In one example embodiment, a device receives interface information about a group of content collections from a server computer system. When a user inputs a selection of a first content &hellip;"
US10285001B2,B2,grant,snap_filed," Generation, curation, and presentation of media collections",Snap Inc.,Snap Inc|Snapchat Inc,Nicholas Richard Allen,2016-02-26,2016-02-26,2019-05-07,2019-05-07,https://patentimages.storage.googleapis.com/24/4a/f9/041bc2a947d5c1/US10285001.pdf,https://patents.google.com/patent/US10285001B2/en,"Systems and methods are provided for receiving, at a first computing device, a request from a user to activate a new media collection, sending the request to a server computer for activation of the new media collection, receiving confirmation that the new media collection was activated, receiving &hellip;"
US10319149B1,B1,grant,snap_filed, Augmented reality anamorphosis system,Snap Inc.,Snap Inc,Piers Cowburn,2017-02-17,2017-02-17,2019-06-11,2019-06-11,https://patentimages.storage.googleapis.com/59/fd/c4/1ed6a24f53f9ae/US10319149.pdf,https://patents.google.com/patent/US10319149B1/en,"In some example embodiments, users may generate and tag their own anamorphic media to locations. A user at a location may generate anamorphic media to be displayed in a space, and <b>assign</b> the anamorphic media to a position in the space. For example, the user may specify the position of the &hellip;"
US10387514B1,B1,grant,snap_filed, Automated content curation and communication,Snap Inc.,Snapchat Inc,Jianchao Yang,2016-06-30,2016-08-30,2019-08-20,2019-08-20,https://patentimages.storage.googleapis.com/84/53/67/b7d3cf81287bbc/US10387514.pdf,https://patents.google.com/patent/US10387514B1/en,"Systems, devices, methods, media, and instructions for automated image processing and content curation are described. In one embodiment a server computer system receives a plurality of content communications from a plurality of client devices, each content communication comprising an associated &hellip;"
US10395100B1,B1,grant,snap_filed, Neural networks for facial modeling,Snap Inc.,Snap Inc,Jia Li,2016-10-19,2018-12-19,2019-08-27,2019-08-27,https://patentimages.storage.googleapis.com/cd/90/3c/d28add30417bdc/US10395100.pdf,https://patents.google.com/patent/US10395100B1/en,"&hellip;  within the portion of the face. The systems and methods generate a descriptor function representing the set of facial features, fit object functions of the descriptor function, identify an identification probability for each facial feature, and <b>assign</b> an identification to each facial feature."
US10423983B2,B2,grant,snap_filed, Determining targeting information based on a predictive targeting model,Snap Inc.,Snap Inc,David Shim,2014-09-16,2014-09-16,2019-09-24,2019-09-24,https://patentimages.storage.googleapis.com/42/1b/7c/1d42a21c9a7c3e/US10423983.pdf,https://patents.google.com/patent/US10423983B2/en,"&hellip;  projected onto the geographic region, the behavior match metric indicating a number of visits by the user to the location represented by the cell; <b>assign</b> the behavioral match metric to a key that comprises a tuple that comprises the cell identifier of the cell and a user identifier of the user; &hellip;"
US10448199B1,B1,grant,snap_filed, Visitation tracking system,Snap Inc.,Snap Inc,Xueyin Chen,2018-04-18,2018-11-13,2019-10-15,2019-10-15,https://patentimages.storage.googleapis.com/7c/14/55/602a22bac0b637/US10448199.pdf,https://patents.google.com/patent/US10448199B1/en,"&hellip;  as the user is riding along a path to a destination, the visitation tracking system retrieves location data that identifies a location of the client device at any given time along the drive. As discussed above, the visitation tracking system may additionally <b>assign</b> time-stamps to the location data."
US10491554B1,B1,grant,snap_filed, Prohibited content propagation using a social network data structure,Snap Inc.,Snap Inc,Mette F. M. Hammer,2010-06-29,2017-05-03,2019-11-26,2019-11-26,https://patentimages.storage.googleapis.com/9f/21/ee/81c771b064a909/US10491554.pdf,https://patents.google.com/patent/US10491554B1/en,"&hellip;  with a proximity policy which can enable a sender node to control which recipient nodes within the social network can receive the email. For instance, Alice can <b>assign</b> a proximity policy to her email to Bob, who can be prohibited from forwarding the email to anyone outside Alice&#39;s social network."
US10522187B2,B2,grant,other_assignee, Tracking interactivity with a prerecorded media file,"Gfycat, Inc.",Snap Inc,Richard Rabbat,2018-02-21,2018-10-18,2019-12-31,2019-12-31,https://patentimages.storage.googleapis.com/8d/2c/95/e0d133cf1b57eb/US10522187.pdf,https://patents.google.com/patent/US10522187B2/en,"&hellip;  U.S. Provisional Patent Application No. 62/633,528, filed on Feb. 21, 2018, entitled “TRACKING INTERACTIVITY WITH A PRERECORDED MEDIA FILE,” by Rabbat et al., and assigned to the <b>assignee</b> of the present application, the disclosure of which is hereby incorporated herein by reference in its entirety. &hellip;"
US10540575B1,B1,grant,snap_filed, Ephemeral content management,Snap Inc.,Snap Inc,Jonathan Brody,2015-09-15,2017-06-30,2020-01-21,2020-01-21,https://patentimages.storage.googleapis.com/70/27/e7/2bf2e83aef3182/US10540575.pdf,https://patents.google.com/patent/US10540575B1/en,"processing, by the one or more processors, the image data to determine one or more characteristics of the image data; processing the one or more characteristics to <b>assign</b> an ephemeral status indicator for the image data; and selecting a storage status for the image data based on the ephemeral &hellip;"
US10623666B2,B2,grant,snap_filed, Selective identification and order of image modifiers,Snap Inc.,Snap Inc,Ebony James Charlton,2016-11-07,2017-11-07,2020-04-14,2020-04-14,https://patentimages.storage.googleapis.com/6d/5a/40/cd4b2f8220b3d9/US10623666.pdf,https://patents.google.com/patent/US10623666B2/en,"Systems, devices, media, and methods are presented for presentation of modified objects within a video stream. The systems and methods receive a selection at a user interface of a computing device and determine a modifier context based at least in part on the selection and a position within the &hellip;"
US10659409B1,B1,grant,snap_filed, Media access system,Snap Inc.,Snap Inc,John Christopher Collins,2017-09-29,2018-09-25,2020-05-19,2020-05-19,https://patentimages.storage.googleapis.com/ed/c1/2f/746b970abfc702/US10659409.pdf,https://patents.google.com/patent/US10659409B1/en,"Systems, devices, media, and methods are presented for providing access to media content within a networked system. The systems and methods receive a notification indicating dispensing of an image capture device by a dispersal machine. In response to receiving the notification, the systems and &hellip;"
US10667697B2,B2,grant,other_assignee, Identification of posture-related syncope using head-mounted sensors,Facense Ltd.,Snap Inc,Ori Tzvieli,2015-06-14,2019-06-26,2020-06-02,2020-06-02,https://patentimages.storage.googleapis.com/3b/3c/39/08dd9adbc3b6c8/US10667697.pdf,https://patents.google.com/patent/US10667697B2/en,"the frame in Oculus Rift™ includes the foam placed on the user&#39;s face and the straps; and the frames in Google Glass™ and Spectacles by <b>Snap Inc</b>. are similar to eyeglasses frames. Additionally or alternatively, the frame may connect to, be affixed within, and/or be integrated with, a helmet (e.g. &hellip;"
US10678818B2,B2,grant,snap_filed, Tag distribution visualization system,Snap Inc.,Snap Inc,Xuan HUANG,2018-01-03,2018-01-03,2020-06-09,2020-06-09,https://patentimages.storage.googleapis.com/d5/d6/53/57613137b5d7cf/US10678818.pdf,https://patents.google.com/patent/US10678818B2/en,"A campaign may include a unique tag that may be identified within media content. For example, a publisher or distributor of a campaign may generate a tag that comprises a graphical icon, and <b>assign</b> the graphical icon to the campaign. In various embodiments described herein, a visualization system &hellip;"
US10698774B2,B2,grant,other_assignee, Method to resolve conflicts during recovery in a storage system,EMC IP Holding Company LLC,Snap Group,Ying Hu,2018-10-31,2018-10-31,2020-06-30,2020-06-30,https://patentimages.storage.googleapis.com/95/bc/3e/9bf6ed9c3e9c99/US10698774.pdf,https://patents.google.com/patent/US10698774B2/en,"An aspect of resolving conflicts during recovery operations includes separating journal entries for first and second types of recovery operations into each of a first and second array. For each entry in the first array, an aspect includes taking a range lock of a designated number of the addresses &hellip;"
US10733225B1,B1,grant,snap_filed, Scaled delivery of media content,Snap Inc.,Snap Inc,Matthew Lee Cook,2017-09-06,2018-02-07,2020-08-04,2020-08-04,https://patentimages.storage.googleapis.com/44/4e/fa/cdd1e5d90195e0/US10733225.pdf,https://patents.google.com/patent/US10733225B1/en,"Systems, devices, media, and methods are presented for scaled delivery of media content. The systems and methods <b>assign</b> a set of proposed designations to a plurality of media content. The systems and methods select a set of media content from the plurality of media content based on the set of &hellip;"
US10795533B1,B1,grant,snap_filed, Content collection navigation queue,Snap Inc.,Snap Inc,Jacob Andreou,2016-10-07,2019-06-04,2020-10-06,2020-10-06,https://patentimages.storage.googleapis.com/bf/e7/06/4b4e65bb8b8e81/US10795533.pdf,https://patents.google.com/patent/US10795533B1/en,"Systems and methods for communicating and displaying collections of images according to a user-selected queue are described. In some example embodiments, a system aggregates content items organized into collections for display to a user on a device. The system receives a selection from the user of &hellip;"
US10818308B1,B1,grant,snap_filed, Speech characteristic recognition and conversion,Snap Inc.,Snap Inc,Wei Chu,2017-04-28,2018-04-27,2020-10-27,2020-10-27,https://patentimages.storage.googleapis.com/28/ec/c3/f6128a0bbc7c61/US10818308.pdf,https://patents.google.com/patent/US10818308B1/en,"Systems, devices, media, and methods are presented for converting sounds in an audio stream. The systems and methods receive an audio conversion request initiating conversion of one or more sound characteristics of an audio stream from a first state to a second state. The systems and methods &hellip;"
US10839586B1,B1,grant,snap_filed, Single image-based real-time body animation,Snap Inc.,Snap Inc,Egor Nemchinov,2019-06-07,2019-06-07,2020-11-17,2020-11-17,https://patentimages.storage.googleapis.com/b6/17/3b/5fc208aee21be8/US10839586.pdf,https://patents.google.com/patent/US10839586B1/en,&hellip;  to the face of the 2D representation of the mesh; and based on determination that the face does not correspond to the part of the body visible in the input image: generate a predicted face based on the body portion; and <b>assign</b> the predicted face to the face of the 2D representation of the mesh.
US10862835B2,B2,grant,snap_filed, Media item attachment system,Snap Inc.,Snap Inc,Newar Husam Al Majid,2017-02-20,2019-06-27,2020-12-08,2020-12-08,https://patentimages.storage.googleapis.com/b7/58/51/594fcb4a284c4a/US10862835.pdf,https://patents.google.com/patent/US10862835B2/en,"A user at a first client device generates media content (e.g., digital video) to attach to a message to a second client device. In response to attaching the media content top the message, the media attachment system prompts the user to <b>assign</b> an address to second media content to the message. For &hellip;"
US10885559B1,B1,grant,snap_filed," Generation, curation, and presentation of media collections with automated &hellip;",Snap Inc.,Snap Inc,Jacob Andreou,2016-06-28,2019-08-22,2021-01-05,2021-01-05,https://patentimages.storage.googleapis.com/65/c4/d0/4673e04d22bf61/US10885559.pdf,https://patents.google.com/patent/US10885559B1/en,"Systems, devices, media, instructions, and methods for computer based automated content generation, curation, and presentation are described. In one embodiment a content collection is generated with a first continuous presentation group by associating a first content element from a first content &hellip;"
US10887542B1,B1,grant,snap_filed, Video reformatting system,Snap Inc.,Snap Inc,Joel Brandt,2018-12-27,2018-12-27,2021-01-05,2021-01-05,https://patentimages.storage.googleapis.com/e3/93/71/9a043f47fdd780/US10887542.pdf,https://patents.google.com/patent/US10887542B1/en,"&hellip;  video was divided into shots and chapters, review the automatically generated edits and make further changes. For example, a user can split shots, combine shots, create new chapters, <b>assign</b> titles to the shots and chapters, change the visual presentation of the content in the shots, and so forth."
US10902189B2,B2,grant,other_assignee, System and method to minimally reduce characters in character limiting &hellip;,International Business Machines Corporation,Snapchat Inc,Lisa Seacat Deluca,2016-09-07,2018-10-30,2021-01-26,2021-01-26,https://patentimages.storage.googleapis.com/2a/c0/4f/9b04fd5cb650a4/US10902189.pdf,https://patents.google.com/patent/US10902189B2/en,the instructions further causing the system to: categorize the selection from the user as a type of character reduction technique; store the categorized selection as historical data; and <b>assign</b> the type of character reduction technique a priority in the writing tone profile of the user. 13. The &hellip;
US10909306B2,B2,grant,other_assignee, Systems and methods of publishing a design,Canva Pty Ltd.,Snap Inc,Melanie Joy Perkins,2018-03-16,2019-03-13,2021-02-02,2021-02-02,https://patentimages.storage.googleapis.com/63/4b/6f/8e24fea95ebc6c/US10909306.pdf,https://patents.google.com/patent/US10909306B2/en,"A method includes storing, at one or more data storage devices, a design in a platform-independent format. The method also includes generating, at a web front end, a GUI including a publish option associated with the design. The method includes sending the GUI to a client device. The method also &hellip;"
US10911575B1,B1,grant,snap_filed, Systems and methods for story and sub-story navigation,Snap Inc.,Snap Inc,Maria Pavlovskaia,2015-05-05,2018-10-09,2021-02-02,2021-02-02,https://patentimages.storage.googleapis.com/c7/bc/51/1f6c3ac49b8f37/US10911575.pdf,https://patents.google.com/patent/US10911575B1/en,"&hellip;  a first story, the first story comprising a first plurality of pieces of content, each piece of content of the first plurality of pieces of content comprising an image or a video clip captured by a respective client device; <b>assign</b>, based on determining the trend, a user segment to the first story; &hellip;"
US10933311B2,B2,grant,snap_filed, Generating collectible items based on location information,Snap Inc.,Snap Inc,Jonathan Brody,2018-03-14,2019-03-14,2021-03-02,2021-03-02,https://patentimages.storage.googleapis.com/ca/a6/1d/aaae380c4dfb9a/US10933311.pdf,https://patents.google.com/patent/US10933311B2/en,Method for generating collectible media content items based on location information starts with processor receiving location information from location sensor coupled to first client computing device. Processor causes a map interface to be displayed that includes avatar of first user at a location &hellip;
US10943393B2,B2,grant,other_assignee, Three-dimensional model optimization,Vertebrae Inc.,Snap Inc,Garrett Eastham,2019-04-26,2019-08-28,2021-03-09,2021-03-09,https://patentimages.storage.googleapis.com/3c/86/d4/d49e54f278aedc/US10943393.pdf,https://patents.google.com/patent/US10943393B2/en,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for optimizing three-dimensional models. One of the methods includes determining, for a three-dimensional model of an object to be optimized, a plurality of points on the object that each have at least &hellip;"
US10956743B1,B1,grant,snap_filed, Shared augmented reality system,Snap Inc.,Snap Inc,David Li,2020-03-27,2020-03-27,2021-03-23,2021-03-23,https://patentimages.storage.googleapis.com/ec/08/87/f6a4c5f8d2c5a3/US10956743.pdf,https://patents.google.com/patent/US10956743B1/en,"In some embodiments, the shared AR system may <b>assign</b> a user of the client device to a “team” responsive to detecting the client device associated with the user at a location. Detection of the client device at a location may be based on a geo-fence that encompasses the location, location data &hellip;"
US10990495B1,B1,grant,snap_filed, Selectively enabling features based on rules,Snap Inc.,Snap Inc,Michael Ronald Cieslak,2019-04-15,2019-04-15,2021-04-27,2021-04-27,https://patentimages.storage.googleapis.com/6c/a0/33/5c23621891ce73/US10990495.pdf,https://patents.google.com/patent/US10990495B1/en,"&hellip;  , downloading additional code associated with the feature, prefetching video content for a particular user, and so forth. The graphical user interface may also allow the developer to <b>assign</b> a priority or rank to the configuration rule which may be used by the selective feature enabling system 124"
US10999629B1,B1,grant,snap_filed, Automated graphical image modification scaling based on rules,Snap Inc.,Snap Inc,Michael Ronald Cieslak,2019-04-23,2019-04-23,2021-05-04,2021-05-04,https://patentimages.storage.googleapis.com/24/c8/8d/cc4c09e618e0c1/US10999629.pdf,https://patents.google.com/patent/US10999629B1/en,"Aspects of the present disclosure involve systems and methods for performing operations comprising receiving, with a messaging application, user input to access a graphical image modification feature of the messaging application; in response to receiving, causing display of a video; accessing a &hellip;"
US11023514B2,B2,grant,snap_filed," Methods and systems for generation, curation, and presentation of media &hellip;",Snap Inc.,Snap Inc|Snapchat Inc,Nicholas Richard Allen,2016-02-26,2016-02-26,2021-06-01,2021-06-01,https://patentimages.storage.googleapis.com/12/8c/f4/ce747fb72b5ecb/US11023514.pdf,https://patents.google.com/patent/US11023514B2/en,"Systems and methods are provided for receiving, at a server computer, a plurality of content messages from a plurality of content sources, each content message comprising media content and associated with a predetermined media collection, for each of the plurality of content messages received, &hellip;"
US11038951B1,B1,grant,snap_filed, Dynamically assigning storage locations for messaging system data,Snap Inc.,Snap Inc,Bradley Baron,2020-03-31,2020-05-21,2021-06-15,2021-06-15,https://patentimages.storage.googleapis.com/58/72/27/b87c29cebaa78d/US11038951.pdf,https://patents.google.com/patent/US11038951B1/en,124 in the client device 102 to exchange data used identify and <b>assign</b> storage locations to data associated with a user and data associated with a communication session including a plurality of users. The data storage server controller 126 can also be coupled to the messaging server application 114
US11048745B2,B2,grant,other_assignee, Cognitively identifying favorable photograph qualities,International Business Machines Corporation,Snap Inc,Adam T. Clark,2018-06-22,2018-06-22,2021-06-29,2021-06-29,https://patentimages.storage.googleapis.com/88/76/57/b1d7a6fd5cd240/US11048745.pdf,https://patents.google.com/patent/US11048745B2/en,"110 A, 110 B may, in accordance with the preconfigured sentiment value at 206 , <b>assign</b> a negative value, or a value below the threshold value. According to one embodiment, if the cognitive photograph recommendation program 110 A, 110 B determines that the number of likes or the sentiment value exceeds &hellip;"
US11049311B2,B2,grant,other_assignee, Dynamically transforming a typing indicator to reflect a user's tone,International Business Machines Corporation,Snap Inc,Kelley M. Gordon,2018-05-22,2019-11-15,2021-06-29,2021-06-29,https://patentimages.storage.googleapis.com/3a/66/64/94b2757f5f971c/US11049311.pdf,https://patents.google.com/patent/US11049311B2/en,"and/or its affiliates), WhatsApp® (WhatsApp and all WhatsApp-related trademarks and logos are trademarks or registered trademarks of WhatsApp, Inc. and/or its affiliates), and Snapchat® (Snapchat and all Snapchat-related trademarks and logos are trademarks or registered trademarks of <b>Snap, Inc</b>. and &hellip;"
US11080351B1,B1,grant,snap_filed, Automated content curation and communication,Snap Inc.,Snap Inc,Jianchao Yang,2016-06-30,2019-07-08,2021-08-03,2021-08-03,https://patentimages.storage.googleapis.com/25/b6/ab/517e42c93f2718/US11080351.pdf,https://patents.google.com/patent/US11080351B1/en,"Systems, devices, methods, media, and instructions for automated image processing and content curation are described. In one embodiment a server computer system receives a plurality of content communications from a plurality of client devices, each content communication comprising an associated &hellip;"
US11090569B1,B1,grant,snap_filed, Game testing system,Snap Inc.,Snap Inc,William Wu,2018-10-31,2018-10-31,2021-08-17,2021-08-17,https://patentimages.storage.googleapis.com/ee/6a/ee/b89278ca86ed9c/US11090569.pdf,https://patents.google.com/patent/US11090569B1/en,"&hellip;  The method of claim 1 further comprising receiving, with the gaming application testing platform, a request from the first user to <b>assign</b> an advertisement slot in the gaming application, the advertisement slot being associated with a reward video presented during gameplay of the gaming application."
US11099643B1,B1,grant,snap_filed, Headware with computer and optical element for use therewith and systems &hellip;,Snap Inc.,Snap Inc,Erick Miller,2011-05-11,2019-10-29,2021-08-24,2021-08-24,https://patentimages.storage.googleapis.com/59/dc/1c/0c693377983b1a/US11099643.pdf,https://patents.google.com/patent/US11099643B1/en,"An apparatus for mounting on a head including a frame, A face-wearable near-ocular optics and a micro-display for displaying data in front of the eyes is provided. A computing device is coupled to the micro-display. At least one sensor is coupled to the computing device for receiving biometric &hellip;"
US11108581B1,B1,grant,snap_filed, Group contact lists generation,Snap Inc.,Snapchat Inc,Ty Giacalone,2020-02-21,2020-02-21,2021-08-31,2021-08-31,https://patentimages.storage.googleapis.com/5f/aa/52/f29f72bd19ec7f/US11108581.pdf,https://patents.google.com/patent/US11108581B1/en,"Systems, methods, devices, computer readable media, and other various embodiments are described for group contact lists generation based on modified user contacts. One embodiment involves receiving, at a server computer from a client device, a plurality of contacts, the plurality of contacts each &hellip;"
US11120273B2,B2,grant,other_assignee, Adaptive content classification of a video content item,"Gfycat, Inc.",Snap Inc,Richard Rabbat,2019-06-21,2020-06-18,2021-09-14,2021-09-14,https://patentimages.storage.googleapis.com/b0/e9/ba/d347c3e78d4d65/US11120273.pdf,https://patents.google.com/patent/US11120273B2/en,"RELATED APPLICATIONS This application claims priority to and the benefit of U.S. Patent Provisional Patent Application 62/865,037, filed on Jun. 21, 2019, entitled “ADAPTIVE CONTENT CLASSIFICATION OF A VIDEO CONTENT ITEM,” by Rabbat et al., and assigned to the <b>assignee</b> of the present application, &hellip;"
US11169667B2,B2,grant,other_assignee, Profile picture management tool on social media platform,International Business Machines Corporation,Snapchat Inc,Sandra L. Kogan,2017-11-30,2017-11-30,2021-11-09,2021-11-09,https://patentimages.storage.googleapis.com/ab/30/2c/e7113eadbf7216/US11169667.pdf,https://patents.google.com/patent/US11169667B2/en,"&hellip;  . Knowledge-based techniques classify text by affect categories based on the presence of unambiguous affect words such as “happy”, “sad”, “afraid”, and “bored”. Some knowledge bases not only list obvious affect words, but also <b>assign</b> arbitrary words a probable “affinity” to particular emotions."
US11170035B2,B2,grant,snap_filed, Context based media curation,Snap Inc.,Snap Inc,Kaveh Anvaripour,2019-03-29,2019-03-29,2021-11-09,2021-11-09,https://patentimages.storage.googleapis.com/81/86/14/267a4f9c304ab8/US11170035.pdf,https://patents.google.com/patent/US11170035B2/en,"8. The system of claim 6 , wherein the instructions cause the system to perform operations further comprising: receiving a request to <b>assign</b> one or more media tags to at least a portion of the plurality of media items. 9. The system of claim 6 , wherein the instructions cause the system to perform &hellip;"
US11176723B2,B2,grant,snap_filed, Automated dance animation,Snap Inc.,Snap Inc,Gurunandan Krishnan Gorumkonda,2019-09-30,2019-09-30,2021-11-16,2021-11-16,https://patentimages.storage.googleapis.com/0d/c9/ca/1f68dea98f590e/US11176723.pdf,https://patents.google.com/patent/US11176723B2/en,"<b>assign</b> a probability value to each motion state of the set of motion states, wherein an associated probability value for an associated motion state of the first control point is associated with a first probability that a displayed animation of the computer animation model will implement the &hellip;"
US11204959B1,B1,grant,snap_filed, Automated ranking of video clips,Snap Inc.,Snap Inc,Nathan Kenneth Boyd,2019-02-06,2019-02-06,2021-12-21,2021-12-21,https://patentimages.storage.googleapis.com/ba/ed/4e/f21f44a747d879/US11204959.pdf,https://patents.google.com/patent/US11204959B1/en,"Aspects of the present disclosure involve a system comprising a computer-readable storage medium storing at least one program and a method for ranking videos. The program and method include storing, in a database, a plurality of videos; obtaining, for a first of the plurality of videos, first data &hellip;"
US11212246B2,B2,grant,other_assignee, Messaging platform communication processing using message cluster detection and &hellip;,"Realnetworks, Inc.",Snap Inc,Randy Warshaw,2017-11-27,2018-11-27,2021-12-28,2021-12-28,https://patentimages.storage.googleapis.com/4d/e1/05/f08a2da292cc97/US11212246.pdf,https://patents.google.com/patent/US11212246B2/en,"; Twitter, provided by Twitter Inc. of San Francisco, Calif.; WhatsApp, provided by WhatsApp Inc. of Menlo Park, Calif.; Google+, provided by Google Inc. of Mountain View, Calif.; SnapChat, provided by <b>Snap Inc</b>. of Venice, Calif., and the like. The term “message” as used herein refers to textual, &hellip;"
US11222455B2,B2,grant,snap_filed, Management of pseudorandom animation system,Snap Inc.,Snap Inc,Gurunandan Krishnan Gorumkonda,2019-09-30,2019-09-30,2022-01-11,2022-01-11,https://patentimages.storage.googleapis.com/d7/06/c4/90d4d7d5bdb479/US11222455.pdf,https://patents.google.com/patent/US11222455B2/en,"The control points can have possible motions assigned to describe all possible movements of all parts of the model. A designer can then <b>assign</b> a probability to each motion, so that during a displayed animation, the likelihood of certain motions occurring are set probabilistically by the designer."
US11223589B1,B1,grant,snap_filed, Prohibited content propagation using a social network data structure,Snap Inc.,Snapchat Inc,Mette F. M. Hammer,2010-06-29,2019-10-30,2022-01-11,2022-01-11,https://patentimages.storage.googleapis.com/8a/25/1a/f1c78974d800b2/US11223589.pdf,https://patents.google.com/patent/US11223589B1/en,"&hellip;  with a proximity policy which can enable a sender node to control which recipient nodes within the social network can receive the email. For instance, Alice can <b>assign</b> a proximity policy to her email to Bob, who can be prohibited from forwarding the email to anyone outside Alice&#39;s social network."
US11240104B1,B1,grant,snap_filed, Device configuration parameter determination,Snap Inc.,Snap Inc,Michael Cieslak,2019-05-21,2019-05-21,2022-02-01,2022-02-01,https://patentimages.storage.googleapis.com/bd/86/f9/1d846af5461d65/US11240104.pdf,https://patents.google.com/patent/US11240104B1/en,"&hellip;  having the known device types. FIG. 1 is a block diagram illustrating a system 100 , according to some examples, configured to <b>assign</b> configuration parameters to devices having unknown device types. The system 100 includes one or more client devices such as client device 110 . The client device 110"
